Код,Наименование,Тариф,Подробности
0204425000,"Баранина или козлятина свежая, охлажденная или замороженная: 🠺 прочая баранина, замороженная: 🠺 прочие отруба, необваленные: 🠺 тазобедренные части с голяшкой","15%, но не менее 0.15 EUR за 1 кг",подробнее
0204429000,"Баранина или козлятина свежая, охлажденная или замороженная: 🠺 прочая баранина, замороженная: 🠺 прочие отруба, необваленные: 🠺 прочие","15%, но не менее 0.15 EUR за 1 кг",подробнее
0204431000,мясо обваленное: 🠺 ягнят,"15%, но не менее 0.15 EUR за 1 кг",подробнее
0204439000,мясо обваленное: 🠺 прочее,"15%, но не менее 0.15 EUR за 1 кг",подробнее
0204501100,свежая или охлажденная: 🠺 туши и полутуши,"15%, но не менее 0.15 EUR за 1 кг",подробнее
0204501300,свежая или охлажденная: 🠺 передние четвертины короткого разруба,"15%, но не менее 0.15 EUR за 1 кг",подробнее
0204501500,свежая или охлажденная: 🠺 хребтовые края спинной части и/или почечные части,"15%, но не менее 0.15 EUR за 1 кг",подробнее
0204501900,свежая или охлажденная: 🠺 тазобедренные части с голяшкой,"15%, но не менее 0.15 EUR за 1 кг",подробнее
0204503100,свежая или охлажденная: 🠺 прочая: 🠺 отруба необваленные,"15%, но не менее 0.15 EUR за 1 кг",подробнее
0204503900,свежая или охлажденная: 🠺 прочая: 🠺 мясо обваленное,"15%, но не менее 0.15 EUR за 1 кг",подробнее
0204505100,замороженная: 🠺 туши и полутуши,"15%, но не менее 0.15 EUR за 1 кг",подробнее
0204505300,замороженная: 🠺 передние четвертины короткого разруба,"15%, но не менее 0.15 EUR за 1 кг",подробнее
0204505500,замороженная: 🠺 хребтовые края спинной части и/или почечные части,"15%, но не менее 0.15 EUR за 1 кг",подробнее
